url	local_groups	topic_groups	local_count	topic_count
vk.com/id377294493	Белгородский комсомол	Антитезис, Молодая гвардия большевиков-Ленинцев	1	2
vk.com/id168250689	Открытый белгородский политический клуб	Александр зиновьев	1	1
vk.com/id224442368	Ленинский комсомол лксм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id209895024	Ленинский комсомол лксм	Анархо-Коммунистическая партия россии, Агитплакат отвага	1	2
vk.com/id212476706	Ленинский комсомол лксм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id441956462	Ленинский комсомол лксм	Апокрифы диалектики, Анархо-Коммунистическая партия россии, Альтернативы, Молодая гвардия большевиков-Ленинцев	1	4
vk.com/id271038514	Ленинский комсомол лксм	Апокрифы диалектики, Молодая гвардия большевиков-Ленинцев	1	2
vk.com/id19786728	Ленинский комсомол лксм	Альтернативы, Антитезис	1	2
vk.com/id93396616	За новый социализм	Агитплакат отвага	1	1
vk.com/id529530476	Белгородский комсомол	Агитплакат отвага	1	1
vk.com/id332872898	Ленинский комсомол лксм	Апокрифы диалектики	1	1
vk.com/id227584172	Ленинский комсомол лксм	Агитплакат отвага	1	1
vk.com/id1661714	Ленинский комсомол лксм	Агитплакат отвага	1	1
vk.com/id419559709	За новый социализм	Анархо-Коммунистическая партия россии	1	1
vk.com/id460369135	Ленинский комсомол лксм	Агитплакат отвага, Альтернативы, Молодая гвардия большевиков-Ленинцев	1	3
vk.com/id144872604	Ленинский комсомол лксм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id430245198	Открытый белгородский политический клуб	Александр зиновьев	1	1
vk.com/id17737864	Ленинский комсомол лксм	Агитплакат отвага, Молодая гвардия большевиков-Ленинцев	1	2
vk.com/id352360668	Белгородский комсомол, Ленинский комсомол лксм	Апокрифы диалектики, Агитплакат отвага, Молодая гвардия большевиков-Ленинцев	2	3
vk.com/id136435707	Ленинский комсомол лксм	Акм новосибирск	1	1
vk.com/id186229792	Ленинский комсомол лксм	Альтернативы	1	1
vk.com/id293405746	Ленинский комсомол лксм	Агитплакат отвага	1	1
vk.com/id713445918	Ленинский комсомол лксм	Агитплакат отвага	1	1
vk.com/id26238389	Ленинский комсомол лксм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id151671861	Ленинский комсомол лксм, За новый социализм	Александр зиновьев	2	1
vk.com/id263447765	Ленинский комсомол лксм	Агитплакат отвага	1	1
vk.com/id78303012	Ленинский комсомол лксм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id595802320	Ленинский комсомол лксм, За новый социализм	Агитплакат отвага	2	1
vk.com/id1048433	Ленинский комсомол лксм	Антонио грамши	1	1
vk.com/id12812756	Ленинский комсомол лксм	Александр зиновьев	1	1
vk.com/id290364647	Ленинский комсомол лксм	Агитплакат отвага	1	1
vk.com/id5727225	Ленинский комсомол лксм	Акм новосибирск	1	1
vk.com/id46713899	Ленинский комсомол лксм	Альтернативы, Молодая гвардия большевиков-Ленинцев	1	2
vk.com/id137412298	Ленинский комсомол лксм, За новый социализм	Молодая гвардия большевиков-Ленинцев	2	1
vk.com/id569190381	За новый социализм	Апокрифы диалектики, Агитплакат отвага, Молодая гвардия большевиков-Ленинцев	1	3
vk.com/id303168268	Ленинский комсомол лксм	Агитплакат отвага, Антитезис, Молодая гвардия большевиков-Ленинцев	1	3
vk.com/id221258316	Ленинский комсомол лксм	Агитплакат отвага	1	1
vk.com/id29597808	Ленинский комсомол лксм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id213245368	Открытый белгородский политический клуб	Александр зиновьев	1	1
vk.com/id7216958	Ленинский комсомол лксм	Анархо-Коммунистическая партия россии, Александр зиновьев	1	2
vk.com/id152142235	Ленинский комсомол лксм	Анархо-Коммунистическая партия россии, Агитплакат отвага	1	2
vk.com/id181627334	Ленинский комсомол лксм	Агитплакат отвага	1	1
vk.com/id301082816	Ленинский комсомол лксм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id47367210	Ленинский комсомол лксм, Открытый белгородский политический клуб	Александр зиновьев	2	1
vk.com/id713409353	Ленинский комсомол лксм, За новый социализм	Анархо-Коммунистическая партия россии, Агитплакат отвага, Альтернативы, Молодая гвардия большевиков-Ленинцев	2	4
vk.com/id207862203	Ленинский комсомол лксм	Анархо-Коммунистическая партия россии	1	1
vk.com/id479185875	Ленинский комсомол лксм	Агитплакат отвага, Молодая гвардия большевиков-Ленинцев	1	2
vk.com/id613797250	За новый социализм	Акм новосибирск, Агитплакат отвага, Молодая гвардия большевиков-Ленинцев	1	3
vk.com/id369006897	Ленинский комсомол лксм	Агитплакат отвага	1	1
vk.com/id489050718	Ленинский комсомол лксм	Агитплакат отвага	1	1
vk.com/id553555238	Ленинский комсомол лксм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id450938116	Ленинский комсомол лксм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id43555038	Ленинский комсомол лксм	Анархо-Коммунистическая партия россии	1	1
vk.com/id694012561	Ленинский комсомол лксм	Агитплакат отвага	1	1
vk.com/id200963900	Ленинский комсомол лксм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id410693694	Ленинский комсомол лксм	Антонио грамши, Александр зиновьев	1	2
vk.com/id584008939	Ленинский комсомол лксм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id669008681	Ленинский комсомол лксм, За новый социализм	Агитплакат отвага	2	1
vk.com/id24128910	За новый социализм	Антитезис	1	1
vk.com/id592587338	Ленинский комсомол лксм	Альтернативы	1	1
vk.com/id197452203	Ленинский комсомол лксм	Александр зиновьев	1	1
vk.com/id28816595	Ленинский комсомол лксм	Апокрифы диалектики, Агитплакат отвага, Альтернативы, Антитезис, Молодая гвардия большевиков-Ленинцев	1	5
vk.com/id689593692	Ленинский комсомол лксм, За новый социализм	Апокрифы диалектики, Агитплакат отвага	2	2
vk.com/id498989122	Белгородский комсомол, Ленинский комсомол лксм	Апокрифы диалектики, Молодая гвардия большевиков-Ленинцев	2	2
vk.com/id663566261	Белгородский комсомол	Агитплакат отвага, Молодая гвардия большевиков-Ленинцев	1	2
vk.com/id7548175	Ленинский комсомол лксм	Альтернативы, Антитезис	1	2
vk.com/id628898929	Ленинский комсомол лксм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id135585595	Ленинский комсомол лксм	Анархо-Коммунистическая партия россии, Молодая гвардия большевиков-Ленинцев	1	2
vk.com/id164450693	Ленинский комсомол лксм	Акм новосибирск, Молодая гвардия большевиков-Ленинцев	1	2
vk.com/id237968510	Ленинский комсомол лксм	Анархо-Коммунистическая партия россии	1	1
vk.com/id622179462	Ленинский комсомол лксм	Агитплакат отвага	1	1
vk.com/id233346332	Ленинский комсомол лксм	Апокрифы диалектики, Агитплакат отвага	1	2
vk.com/id47848501	Ленинский комсомол лксм	Агитплакат отвага, Альтернативы	1	2
vk.com/id118577351	Ленинский комсомол лксм	Альтернативы	1	1
vk.com/id343341230	Ленинский комсомол лксм	Агитплакат отвага, Молодая гвардия большевиков-Ленинцев	1	2
vk.com/id618115746	Ленинский комсомол лксм	Агитплакат отвага	1	1
vk.com/id213992037	Ленинский комсомол лксм	Агитплакат отвага, Альтернативы, Антитезис, Молодая гвардия большевиков-Ленинцев	1	4
vk.com/id709278224	Ленинский комсомол лксм	Агитплакат отвага	1	1
vk.com/id187321812	Ленинский комсомол лксм	Альтернативы	1	1
vk.com/id152973857	Открытый белгородский политический клуб	Анархо-Коммунистическая партия россии, Молодая гвардия большевиков-Ленинцев	1	2
vk.com/id740893778	Ленинский комсомол лксм	Апокрифы диалектики, Агитплакат отвага, Альтернативы, Молодая гвардия большевиков-Ленинцев	1	4
vk.com/id19624152	Ленинский комсомол лксм	Агитплакат отвага, Молодая гвардия большевиков-Ленинцев	1	2
vk.com/id314350264	Ленинский комсомол лксм	Агитплакат отвага	1	1
vk.com/id200097141	Ленинский комсомол лксм	Анархо-Коммунистическая партия россии	1	1
vk.com/id197244959	Ленинский комсомол лксм	Александр зиновьев	1	1
vk.com/id599327288	Ленинский комсомол лксм	Анархо-Коммунистическая партия россии, Агитплакат отвага	1	2
vk.com/id220613182	Ленинский комсомол лксм	Альтернативы	1	1
vk.com/id22552295	Ленинский комсомол лксм	Альтернативы	1	1
vk.com/id173883585	Ленинский комсомол лксм	Альтернативы	1	1
vk.com/id35802668	Ленинский комсомол лксм	Агитплакат отвага, Молодая гвардия большевиков-Ленинцев	1	2
vk.com/id601334585	Ленинский комсомол лксм, За новый социализм	Агитплакат отвага, Молодая гвардия большевиков-Ленинцев	2	2
vk.com/id2757249	Ленинский комсомол лксм	Альтернативы, Молодая гвардия большевиков-Ленинцев	1	2
vk.com/id664550008	За новый социализм	Агитплакат отвага	1	1
vk.com/id185466319	Ленинский комсомол лксм	Агитплакат отвага, Альтернативы, Молодая гвардия большевиков-Ленинцев	1	3
